Country Code,Country Name,Time,GDP,Export,Import,Private consumption,Government consumption,FDI inflows,CPI,Unemployment,Interest rate
ATG,Antigua and Barbuda,2010,1376434444.9473863,,,,,99366399.01552647,100.0,,9.245397047585001
ATG,Antigua and Barbuda,2011,1349473923.2669282,,,,,73333782.58748356,103.456749672346,,10.177753916285159
ATG,Antigua and Barbuda,2012,1394989455.4611268,,,,,131218414.12530428,106.950360419397,,9.945285037248668
ATG,Antigua and Barbuda,2013,1386609537.4123595,,,,,97173114.80696687,108.083497160332,,9.430503901805851
ATG,Antigua and Barbuda,2014,1417273748.8761513,,,,,47552995.12701321,109.261003713412,,8.148532639159614
ATG,Antigua and Barbuda,2015,1437755555.5555553,,,,,114024660.121814,110.319735692442,,6.855762616734538
ATG,Antigua and Barbuda,2016,1496700162.354083,,,,,97890300.14084655,109.779789209262,,10.090444904830356
ATG,Antigua and Barbuda,2017,1533568876.840893,,,,,151510420.5525592,112.450169287899,,8.969954354475018
ATG,Antigua and Barbuda,2018,1640200774.6996615,,,,,199735766.83635437,113.807620427883,,7.4080626696324785
ATG,Antigua and Barbuda,2019,1691054300.0662863,,,,,131246628.15346007,115.436612610656,,7.836574719663187
ATG,Antigua and Barbuda,2020,1371776497.480488,,,,,103266784.36160058,116.159233923762,,6.829130405059192
ATG,Antigua and Barbuda,2021,1484148566.079468,,,,,268639848.8009226,118.555594720979,,2.3624276339627297
ATG,Antigua and Barbuda,2022,1625386015.5663264,,,,,262576385.7054791,127.484109443389,,0.766250064542456
ATG,Antigua and Barbuda,2023,1688158621.5782309,,,,,249599306.9919431,133.943906030246,,1.8066629756626
ABW,Aruba,2010,2782678075.47099,1675678261.7858765,2093866983.9396548,1677399085.6982713,736439771.9313549,211808333.54697156,,,
ABW,Aruba,2011,2876433099.90676,2006341218.4406385,2435958401.646896,1795202970.1129391,722227914.4644039,532306382.418308,,,
ABW,Aruba,2012,2846495187.5290413,2080888913.2285802,2378009086.7339873,1728893164.538281,745153955.4016308,-342523895.8142159,,,
ABW,Aruba,2013,3029567030.3440266,2319082411.484209,2585522442.081218,1780643114.3864372,793543698.234782,302182802.93647426,,,
ABW,Aruba,2014,2981500673.046322,2333784370.8208985,2522545108.8489423,1741073051.2652903,740119994.0197111,222576616.24375603,,,
ABW,Aruba,2015,2962907262.5698323,2158564245.8100557,2162351955.3072624,1639472067.039106,689044692.7374301,-26881396.993856005,,,
ABW,Aruba,2016,3013858155.988089,2164566038.2096376,2122338671.6916025,1643648423.1958652,707880748.9104831,27829905.30602561,,,
ABW,Aruba,2017,3226290954.320648,2340631817.3346615,2298913160.7908077,1778786809.904144,742744557.9180797,169489107.83876067,,,
ABW,Aruba,2018,3303627899.7543783,2386962798.7323885,2410352630.956106,1824767450.3628492,762180667.2380291,145353736.34016505,,,
ABW,Aruba,2019,3229876376.131907,2365386771.3918595,2329030948.6113377,1742109177.0466938,726675424.7289968,-71550888.32072906,,,
ABW,Aruba,2020,2383266968.911624,1262955215.9985702,1695567228.6162233,1559175920.477063,680458105.1188318,154668698.49417233,,,
ABW,Aruba,2021,2958411905.4410534,2092781850.271418,2256544455.970914,1802134479.6454492,675455904.0203142,134865567.8997851,,,
ABW,Aruba,2022,3210407008.760283,2811362401.10543,2738923144.229561,1785574592.3761933,680855555.1487113,242933805.484333,,,
ABW,Aruba,2023,3347289755.6782103,2957122512.8927836,2726518017.0860143,1743510665.8145378,654812669.6451908,83894170.37600513,,,
AUS,Australia,2010,,233682005414.59543,244649014603.40152,,222341223755.49905,36532567947.00404,100.0,5.214,
AUS,Australia,2011,,259143952987.59714,246773046162.47073,,225638454981.7887,56680696020.97543,103.303850156087,5.083,
AUS,Australia,2012,,269996226267.43933,272231992833.12195,,237399737461.44403,46732999829.464775,105.124869927159,5.225,
AUS,Australia,2013,,257474954789.4127,274484899245.40207,,243002919534.34406,44517147842.976776,107.700312174818,5.663,
AUS,Australia,2014,,278848759773.8732,282932344963.15735,,248304964660.989,56922642481.92341,110.379812695109,6.078,
AUS,Australia,2015,,271152836560.50137,291850364122.39966,,259298578703.76917,46892808567.85159,112.044745057232,6.055,
AUS,Australia,2016,,267701530108.9525,301257922142.7896,,277350092101.4598,49441443951.75699,113.475546305931,5.711,
AUS,Australia,2017,,301894537407.5692,297498854427.9024,,283313080458.96277,51641121307.57289,115.686784599376,5.592,
AUS,Australia,2018,,319898720244.24774,319137243594.33167,,292469696750.398,62102424415.119705,117.89802289282,5.3,
AUS,Australia,2019,,360667239368.856,328841900714.92847,,304113135745.045,41530548273.804634,119.797086368366,5.159,
AUS,Australia,2020,,358253713478.98755,307721271339.28314,,326463548640.28375,20177894462.777496,120.811654526535,6.456,
AUS,Australia,2021,,335822024148.35876,277799924880.4221,,341395176421.7925,30826620933.480133,124.271592091571,5.116,
AUS,Australia,2022,,405220381789.1262,322032275040.0675,,350414115720.9699,66048481114.632545,132.466181061394,3.728,
AUS,Australia,2023,,439979888912.1616,368180719307.58124,,349922878191.4964,30878375340.24866,139.880332986472,3.668,
AUT,Austria,2010,359922498957.7862,185662357480.3443,172981993893.98074,193774334143.3779,74220333992.11403,-20319052886.20079,100.0,4.883,
AUT,Austria,2011,370459114608.07605,201129947323.73587,190723545582.39676,199008873344.07758,74177837051.09268,19849672734.80074,103.286579148754,4.637,
AUT,Austria,2012,372786509841.892,202518107226.92453,192042084983.79703,200590013512.32593,74520584919.15718,4782861329.79591,105.853948467215,4.909,
AUT,Austria,2013,371851835102.0846,200390288267.3839,189999751597.54633,201235246126.7613,74684606371.68378,-1125348145.7764971,107.971192747618,5.367,
AUT,Austria,2014,374662287839.1951,201778710318.6471,189731166442.48944,201894196017.95978,74875362093.64595,1459523323.1288967,109.70500693326,5.674,
AUT,Austria,2015,379546097300.6326,202662480693.77216,188716276454.94717,201233218392.71082,75483956483.30466,-6847372583.722271,110.688581802368,5.802,
AUT,Austria,2016,387581921933.0467,204113825949.80255,189566676584.47675,203663704682.06097,76580060662.96748,-28060539852.88103,111.675472068849,6.064,
AUT,Austria,2017,396388752620.7205,215342271378.66794,203070104948.70648,209311620077.62845,77687996316.04866,13405085760.892807,113.999739176771,5.561,
AUT,Austria,2018,406235924727.3662,226282507619.0543,213987740896.74835,212096235388.64673,78981675443.6005,-24988351994.31609,116.277886952829,4.933,
AUT,Austria,2019,413365269561.5494,231053854903.40573,216237480027.00674,213891379239.11185,80735698256.91579,-11791476524.739233,118.057980056249,4.56,
AUT,Austria,2020,387247796564.0865,200064177545.98508,186983079298.58667,193039521175.28046,81914270889.76874,-10700898548.372736,119.689435836364,5.201,
AUT,Austria,2021,405817602863.18805,227068583069.2893,223519908327.47153,201572853833.6216,88191330277.18427,16046406393.277887,123.00084356117,6.459,
AUT,Austria,2022,427236226636.13214,264726987801.81827,266684176881.7521,218388524662.14636,87807677670.1392,12951382640.102385,133.513565675464,4.992,
AUT,Austria,2023,423156281454.21027,251628048902.11365,242677388702.11148,220883638390.5148,86600678609.6576,2418879599.819185,143.946494832533,5.264,
BHS,"Bahamas, The",2010,11272448140.660315,3940091186.672635,4928575296.727408,6953108662.085269,1410987653.7628112,973600462.4923309,100.0,14.432,5.915788915843441
BHS,"Bahamas, The",2011,11341567493.877293,4245746247.2052393,5772678728.693041,7141714814.027583,1560493912.3392076,750763577.0333972,103.198781416603,14.52,5.9723845342930995
BHS,"Bahamas, The",2012,11681576709.450377,4453870810.996555,5388002491.317301,7425587911.292539,1528900067.257735,573346787.3202692,105.235272691149,14.02,1.349194804107864
BHS,"Bahamas, The",2013,11347097042.134651,4557372619.714193,5283181662.706349,7372371299.148701,1342118021.0285661,417231048.93803793,105.995507859611,16.18,4.927761977124151
BHS,"Bahamas, The",2014,11556707522.666641,4383273682.725268,5412931766.785674,7565498994.322033,1306251994.3426523,264617577.01501042,107.600021675885,13.8,1.0630468653358798
BHS,"Bahamas, The",2015,11671900000.0,4241299999.9999995,4333709999.999999,7536699999.999999,1345700000.0,76075924.75000001,109.602977818188,12.0,-0.5307547374227509
BHS,"Bahamas, The",2016,11559626969.473848,3839790947.6041303,4337603594.67907,7531360098.748226,1253291073.1222382,384235024.79915965,109.223338388445,12.7,3.0958378432185034
